iter	Passed	Remaining
0	1	176
1	3	166
2	4	160
3	6	147
4	7	149
5	9	148
6	10	144
7	12	141
8	13	136
9	15	135
10	16	132
11	18	132
12	19	132
13	21	130
14	22	129
15	24	129
16	26	128
17	27	127
18	29	125
19	31	124
20	32	122
21	34	121
22	35	118
23	37	117
24	38	115
25	40	114
26	41	113
27	43	111
28	45	110
29	46	108
30	48	107
31	50	106
32	51	105
33	53	103
34	54	102
35	56	99
36	57	98
37	59	96
38	60	94
39	62	93
40	63	91
41	64	88
42	65	87
43	67	85
44	68	84
45	70	82
46	72	81
47	73	79
48	75	78
49	77	77
50	78	75
51	80	74
52	82	72
53	83	71
54	84	69
55	86	67
56	87	66
57	89	64
58	91	63
59	92	61
60	93	59
61	95	58
62	96	56
63	97	55
64	99	53
65	101	52
66	102	50
67	103	48
68	105	47
69	107	45
70	109	44
71	110	43
72	112	41
73	114	40
74	115	38
75	117	37
76	118	35
77	120	34
78	122	32
79	124	31
80	126	29
81	128	28
82	130	26
83	132	25
84	133	23
85	135	22
86	137	20
87	138	18
88	140	17
89	142	15
90	144	14
91	146	12
92	147	11
93	149	9
94	151	7
95	152	6
96	154	4
97	156	3
98	158	1
99	160	0
