iter	Passed	Remaining
0	1	1970
1	3	1656
2	4	1507
3	5	1411
4	6	1348
5	7	1293
6	8	1256
7	9	1239
8	11	1219
9	12	1204
10	13	1173
11	14	1169
12	15	1154
13	16	1135
14	17	1148
15	18	1144
16	19	1148
17	21	1161
18	22	1168
19	23	1165
20	25	1167
21	26	1181
22	27	1175
23	28	1163
24	29	1153
25	30	1144
26	31	1139
27	32	1135
28	33	1128
29	34	1123
30	35	1118
31	36	1116
32	37	1110
33	39	1109
34	40	1106
35	41	1100
36	42	1105
37	52	1334
38	54	1334
39	55	1329
40	56	1321
41	57	1318
42	59	1325
43	65	1417
44	69	1474
45	72	1500
46	74	1505
47	78	1549
48	79	1551
49	81	1548
50	83	1558
51	85	1550
52	86	1543
53	87	1535
54	90	1559
55	92	1562
56	100	1654
57	101	1649
58	102	1638
59	104	1641
60	106	1634
61	107	1624
62	108	1614
63	109	1604
64	110	1595
65	111	1583
66	113	1574
67	114	1566
68	115	1558
69	117	1555
70	123	1614
71	126	1624
72	127	1624
73	129	1621
74	130	1613
75	131	1604
76	133	1598
77	135	1597
78	136	1591
79	137	1585
80	138	1576
81	140	1570
82	140	1557
83	142	1549
84	143	1545
85	144	1538
86	145	1528
87	146	1519
88	147	1510
89	148	1504
90	150	1500
91	151	1493
92	152	1487
93	153	1480
94	154	1473
95	155	1464
96	156	1457
97	157	1450
98	158	1443
99	159	1434
100	160	1427
101	161	1420
102	162	1414
103	163	1408
104	164	1403
105	165	1399
106	167	1394
107	168	1390
108	169	1385
109	170	1379
110	171	1373
111	172	1367
112	173	1360
113	174	1355
114	175	1349
115	176	1344
116	177	1336
117	178	1332
118	179	1328
119	180	1325
120	182	1322
121	182	1316
122	183	1311
123	185	1307
124	186	1303
125	187	1299
126	188	1293
127	189	1289
128	190	1284
129	191	1281
130	192	1276
131	193	1272
132	194	1268
133	195	1265
134	197	1263
135	198	1260
136	199	1256
137	200	1252
138	201	1247
139	202	1243
140	203	1238
141	204	1232
142	205	1229
143	206	1225
144	207	1221
145	208	1218
146	209	1214
147	211	1216
148	212	1215
149	213	1212
150	215	1209
151	216	1205
152	217	1201
153	218	1198
154	219	1194
155	220	1191
156	221	1187
157	222	1184
158	223	1182
159	224	1180
160	226	1179
161	227	1178
162	229	1176
163	230	1174
164	231	1171
165	232	1167
166	233	1164
167	234	1160
168	235	1156
169	236	1153
170	237	1149
171	238	1146
172	239	1144
173	241	1145
174	242	1145
175	244	1142
176	245	1139
177	245	1135
178	247	1133
179	247	1129
180	248	1126
181	249	1122
182	250	1119
183	251	1116
184	252	1112
185	253	1109
186	254	1107
187	256	1105
188	257	1103
189	258	1101
190	259	1099
191	260	1097
192	262	1095
193	263	1093
194	264	1090
195	264	1086
196	265	1083
197	266	1081
198	267	1078
199	268	1075
200	270	1074
201	271	1072
202	272	1069
203	273	1066
204	274	1064
205	275	1062
206	276	1059
207	277	1057
208	278	1055
209	279	1052
210	280	1049
211	281	1047
212	282	1044
213	283	1042
214	284	1040
215	286	1038
216	287	1036
217	288	1036
218	290	1034
219	291	1031
220	292	1029
221	293	1027
222	294	1024
223	295	1022
224	296	1019
225	297	1017
226	298	1016
227	299	1015
228	301	1013
229	302	1011
230	303	1009
231	304	1008
232	305	1006
233	306	1003
234	307	1001
235	308	998
236	309	996
237	310	994
238	311	991
239	312	988
240	313	986
241	314	985
242	316	984
243	317	983
244	318	982
245	319	980
246	321	978
247	322	976
248	323	974
249	324	972
250	325	969
251	325	967
252	326	965
253	327	963
254	329	961
255	330	960
256	331	958
257	332	957
258	334	955
259	335	953
260	336	951
261	337	949
262	338	947
263	339	945
264	340	943
265	340	940
266	342	939
267	343	936
268	344	935
269	345	934
270	347	935
271	348	933
272	350	932
273	351	930
274	352	928
275	353	926
276	354	924
277	355	922
278	356	921
279	357	919
280	358	917
281	359	916
282	360	914
283	361	912
284	362	910
285	364	909
286	365	908
287	366	906
288	367	904
289	368	903
290	369	901
291	370	899
292	371	897
293	372	895
294	374	894
295	375	893
296	377	892
297	378	891
298	379	889
299	380	887
300	381	886
301	382	884
302	383	882
303	384	880
304	385	878
305	386	877
306	387	875
307	388	873
308	390	872
309	391	870
310	392	869
311	393	867
312	394	865
313	395	863
314	396	861
315	397	859
316	398	858
